"Igloo-Rank","Igloo-TotalOccurences","Igloo-Search_Term","Igloo-SSR-content_name","Igloo-SSR-content_id","Igloo-SSR-content_type","Igloo-QSR-content_name","Igloo-QSR-content_id","Igloo-QSR-content_type","Amp-content_name","Amp-content_id","Amp-content_type","SSR PASS/FAIL","QSR PASS/FAIL"
"210","603","kid rock","Kid Rock","58772","artist","Kid Rock","58772","artist","Kid Rock","58772","ARTIST","PASS","PASS"
"211","602","george","George Strait","31894","artist","George Strait","31894","artist","George Strait","31894","ARTIST","PASS","PASS"
"212","601","rick","Rick Ross","2272","artist","RMRS-FL","8982","live","Rickey Smiley Morning Show","8982","ARTIST","FAIL","FAIL"
"213","599","train","Train","90187","artist","Train","90187","artist","Meghan Trainor","543619","ARTIST","FAIL","FAIL"
"214","597","david","David Guetta","28289","artist","David Guetta","28289","artist","David Guetta","28289","ARTIST","PASS","PASS"
"215","597","97.9","WJLB-FM","1141","live","WXTB-FM","697","live","The BIG 98","2157","ARTIST","FAIL","FAIL"
"216","592","2pac","2Pac","39257","artist","2Pac","39257","artist","2Pac","39257","ARTIST","PASS","PASS"
"217","591","96.5","WMJJ-FM","3081","live","WMJJ-FM","3081","live","Magic 96.5","3081","ARTIST","FAIL","FAIL"
"218","590","kenny g","Kenny G","7789","artist","Kenny G","7789","artist","Kenny G","7789","ARTIST","PASS","PASS"
"219","585","105","WWPR-FM","1481","live","WWPR-FM","1481","live","Power 105.1","1481","ARTIST","FAIL","FAIL"
"220","584","t.i.","T.I.","58717","artist","T.I.","58717","artist","T.I.","58717","artist","PASS","PASS"
"221","575","70s","MY70S-FL","6843","live","MY70S-FL","6843","live","iHeart70s Radio","6843","live","PASS","PASS"
"222","574","bob","Bob Marley","1044","artist","Bob Marley","1044","artist","The Bobby Bones Show","25100459","live","FAIL","FAIL"
"223","574","iheart christmas","IHAD-FL","4596","live","IHAD-FL","4596","live","iHeartChristmas","4596","live","PASS","PASS"
"224","570","the clay travis and buck sexton show","The Clay Travis and Buck Sexton Show","57927691","podcast","The Clay Travis and Buck Sexton Show","57927691","podcast","The Clay Travis and Buck Sexton Show","57927691","podcast","PASS","PASS"
"225","567","sunny","KODA-FM","2273","live","KODA-FM","2273","live","Sunny Radio","5014","podcast","FAIL","FAIL"
"226","565","acdc","AC/DC","83301","artist","AC/DC","83301","artist","AC/DC","83301","ARTIST","PASS","PASS"
"227","559","dra","Drake","44512","artist","Drake","44512","artist","Dayton Dragons On WONE-FM","4950","link","FAIL","FAIL"
"228","558","toto","Toto","30393191","artist","Toto","30393191","artist","Toto","30393191","ARTIST","PASS","PASS"
"229","558","bee gees","Bee Gees","59896","artist","Bee Gees","59896","artist","Bee Gees","59896","ARTIST","PASS","PASS"
"230","555","rihanna","Rihanna","34742","artist","Rihanna","34742","artist","Rihanna","34742","link","FAIL","FAIL"
"231","554","guy","Guy","40886","artist","Guy","40886","artist","The Piano Guys","723067","ARTIST","FAIL","FAIL"
"232","554","john mayer","John Mayer","16227","artist","John Mayer","16227","artist","John Mayer","16227","ARTIST","PASS","PASS"
"233","552","98.5","WBZ-FM","8808","live","WBZ-FM","8808","live","98.5 The Sports Hub","8808","ARTIST","FAIL","FAIL"
"234","551","kost","KOST-FM","193","live","KOST-FM","193","live","KOST 103.5 Los Angeles","193","live","PASS","PASS"
"235","549","murder","True Crime Podcasts","0","link","Murder & Magnolias","104131702","podcast","True Crime Podcasts","87","link","FAIL","FAIL"
"236","543","the bobby bones show","The Bobby Bones Show","25100459","podcast","The Bobby Bones Show","25100459","podcast","The Bobby Bones Show","25100459","PODCAST","PASS","PASS"
"237","542","joe r","The Joe Rogan Experience","0","link","Joe Rogan Experience Review podcast","62392353","podcast","The Joe Rogan Experience","1159","link","FAIL","FAIL"
"238","538","105.7","WMJI-FM","1737","live","WMJI-FM","1737","live","Majic 105.7","1737","link","FAIL","FAIL"
"239","535","podcast","iHeartRadio Podcasts","0","link","The Jordan B. Peterson Podcast","28713771","podcast","iHeartRadio Podcasts","45","link","FAIL","FAIL"
"240","534","morbid","Morbid","47439393","podcast","Morbid","47439393","podcast","Morbid","47439393","podcast","PASS","PASS"
"241","533","country christmas","IHCO-FL","4601","live","IHCO-FL","4601","live","iHeartChristmas Country","4601","live","PASS","PASS"
"242","533","nba","Sports","0","link","NBA YoungBoy","36537093","artist","Sports","686","link","FAIL","FAIL"
"243","532","christmas songs","iHeartChristmas Stations","0","link","Classical Christmas Music Songs","31041299","artist","iHeartChristmas Stations","688","link","FAIL","FAIL"
"244","531","dallas cowboys","KKTX-AM","5270","live","KKTX-AM","5270","live","NewsRadio 1360 KKTX","5270","live","PASS","PASS"
"245","530","kevin gates","Kevin Gates","390541","artist","Kevin Gates","390541","artist","Kevin Gates","390541","ARTIST","PASS","PASS"
"246","530","old school","RBCH-FL","7397","live","RBCH-FL","7397","live","Throwbacks","7397","live","PASS","PASS"
"247","530","aaron carter","Aaron Carter","109054","artist","Aaron Carter/Aaron's Party (Come Get It)","2564759","track","Aaron Carter","109054","ARTIST","PASS","FAIL"
"248","529","the daily","The Daily","28076606","podcast","The Daily","28076606","podcast","The Daily","28076606","podcast","PASS","PASS"
"249","528","fox news","FOXNEWS-FL","8627","live","WLAC-AM","2149","live","Fox News Radio","8627","live","PASS","FAIL"
"250","527","garth brooks","Garth Brooks","628013","artist","Garth Brooks","628013","artist","Garth Brooks","628013","ARTIST","PASS","PASS"
"251","527","99.1","KODA-FM","2273","live","KODA-FM","2273","live","SUNNY 99.1 Houston","2273","ARTIST","FAIL","FAIL"
"252","526","bill o’reilly’s no spin news and analysis","Bill O’Reilly’s No Spin News and Analysis","28287326","podcast","Bill O’Reilly's No Spin News and Analysis","28287326","podcast","Bill O’Reilly's No Spin News and Analysis","28287326","podcast","PASS","PASS"
"253","526","sports radio","Sports","0","link","FSR-PR","4732","live","Sports","686","link","FAIL","FAIL"
"254","524","90s country","CTRY90-FL","6870","live","CTRY90-FL","6870","live","iHeartCountry 90s Radio","6870","link","FAIL","FAIL"
"255","523","94.7","WLS-FM","5367","live","WLS-FM","5367","live","94.7 WLS","5367","link","FAIL","FAIL"
"256","522","rick ross","Rick Ross","2272","artist","Rick Ross","2272","artist","Rick Ross","2272","ARTIST","PASS","PASS"
"257","515","mark","Mark Levin Podcast","30488766","podcast","Mark Levin Podcast","30488766","podcast","Mark Levin Podcast","30488766","PODCAST","PASS","PASS"
"258","515","pink floyd","Pink Floyd","165","artist","Pink Floyd","165","artist","Pink Floyd","165","ARTIST","PASS","PASS"
"259","514","107.5","WBLS-FM","6493","live","WBLS-FM","6493","live","107.5 WBLS","6493","ARTIST","FAIL","FAIL"
"260","514","second date update","Second Date Update","29451518","podcast","Second Date Update On The :10s Podcasts","31094189","podcast","Second Date Update","29451518","PODCAST","PASS","FAIL"
"261","512","lady","Lady Gaga","39335","artist","Lady Gaga","39335","artist","Lady Gaga","39335","ARTIST","PASS","PASS"
"262","509","lady gaga","Lady Gaga","39335","artist","Lady Gaga","39335","artist","Lady Gaga","39335","ARTIST","PASS","PASS"
"263","508","98.1","KISQ-FM","285","live","WBUL-FM","961","live","98.1 The Breeze","285","ARTIST","FAIL","FAIL"
"264","507","107.9","KQQL-FM","1217","live","WSRZ-FM","641","live","107.9 WSRZ","641","ARTIST","FAIL","FAIL"
"265","503","106.7","WLTW-FM","1477","live","WLTW-FM","1477","live","106.7 Lite FM","1477","ARTIST","FAIL","FAIL"
"266","503","the bible","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","The Bible in a Year (with Fr. Mike Schmitz)","75927728","PODCAST","PASS","PASS"
"267","502","103.3","KLOU-FM","3463","live","WARM-FM","5674","live","103.3 KLOU","3463","PODCAST","FAIL","FAIL"
"268","501","smooth","IJAZ-FL","4242","live","IJAZ-FL","4242","live","Smooth Jazz","4242","live","PASS","PASS"
"269","498","bobby brown","Bobby Brown","41567","artist","Bobby Brown","41567","artist","Bobby Brown","41567","ARTIST","PASS","PASS"
"270","497","kenny","Kenny G","7789","artist","Kenny Chesney","89602","artist","Kenny Chesney","89602","ARTIST","FAIL","PASS"
"271","496","fantasia","Fantasia","116180","artist","Fantasia","116180","artist","Fantasia","116180","ARTIST","PASS","PASS"
"272","496","101.9","KQXT-FM","2341","live","KQXT-FM","2341","live","Q 101.9","2341","ARTIST","FAIL","FAIL"
"273","496","clay","The Clay Travis and Buck Sexton Show","57927691","podcast","The Clay Travis and Buck Sexton Show","57927691","podcast","The Clay Travis and Buck Sexton Show","57927691","podcast","PASS","PASS"
"274","495","garth","Garth Brooks","628013","artist","Garth Brooks","628013","artist","Garth Brooks","628013","ARTIST","PASS","PASS"
"275","494","fantasy football weekly","Fantasy Football Weekly","27310787","podcast","Fantasy Football Weekly","27310787","podcast","Fantasy Football Weekly","27310787","PODCAST","PASS","PASS"
"276","493","true crime podcasts","True Crime Podcasts","0","link","Obscura: A True Crime Podcast","86457392","podcast","True Crime Podcasts","87","link","FAIL","FAIL"
"277","489","fleetwood mac","Fleetwood Mac","7046","artist","Fleetwood Mac","7046","artist","Fleetwood Mac","7046","ARTIST","PASS","PASS"
"278","489","the deck","The Deck","91069798","podcast","The Deck","91069798","podcast","The Deck","91069798","podcast","PASS","PASS"
"279","489","history","American History Tellers","28779509","podcast","History That Doesn't Suck","30946661","podcast","Stuff You Missed in History Class","21124503","PODCAST","FAIL","FAIL"
"280","486","led","Led Zeppelin","1807","artist","Led Zeppelin","1807","artist","Led Zeppelin","1807","ARTIST","PASS","PASS"
"281","484","102","KIIS-FM","185","live","KIIS-FM","185","live","102.7 KIIS-FM Los Angeles","185","ARTIST","FAIL","FAIL"
"282","484","james taylor","James Taylor","5709","artist","James Taylor","5709","artist","James Taylor","5709","ARTIST","PASS","PASS"
"283","482","next","Next","8067","artist","Next","8067","artist","Girls Next Level","100431166","ARTIST","FAIL","FAIL"
"284","482","iheart80s radio","IEIG-FL","5060","live","IEIG-FL","5060","live","iHeart80s Radio","5060","live","PASS","PASS"
"285","481","kool","KQQL-FM","1217","live","KQQL-FM","1217","live","Kool 108","1217","live","FAIL","FAIL"
"286","480","the joe pags show","The Joe Pags Show","22959056","podcast","The Joe Pags Show","22959056","podcast","The Joe Pags Show","22959056","PODCAST","PASS","PASS"
"287","480","95.5","WKQI-FM","1145","live","WKQI-FM","1145","live","Channel 95.5","1145","PODCAST","FAIL","FAIL"
"288","478","dmx","DMX","39190","artist","DMX","39190","artist","DMX","39190","ARTIST","PASS","PASS"
"289","476","journ","Journey","3801","artist","Journey","3801","artist","Journey","3801","ARTIST","PASS","PASS"
"290","476","107.7","WMGF-FM","597","live","WMGF-FM","597","live","Magic 107.7 Orlando","597","ARTIST","FAIL","FAIL"
"291","476","luke bryan","Luke Bryan","29083","artist","Luke Bryan","29083","artist","Luke Bryan","29083","ARTIST","PASS","PASS"
"292","475","sleeping","Sleep","0","link","Spa Music Relaxation & Spa & Sleeping Music","32466022","artist","Sleep","2282","link","FAIL","FAIL"
"293","475","the bridge","The Bridge","29787284","podcast","The Bridge","29787284","podcast","Under the Bridge","1022758","link","FAIL","FAIL"
"294","475","live","Live","41289","artist","Live","41289","artist","NBC News Radio: Politics","6043","live","FAIL","FAIL"
"295","474","kjr","KJR-FM","2577","live","KJR-FM","2577","live","Sports Radio 93.3 KJR","2565","live","FAIL","FAIL"
"296","474","mary","Mary J. Blige","39258","artist","Mary J. Blige","39258","artist","Mary J. Blige","39258","ARTIST","PASS","PASS"
"297","473","mike rowe","The Way I Heard It with Mike Rowe","27463840","podcast","The Way I Heard It with Mike Rowe","27463840","podcast","The Way I Heard It with Mike Rowe","27463840","PODCAST","PASS","PASS"
"298","472","break","The Breakfast Club","24992238","podcast","The Breakfast Club","24992238","podcast","The Breakfast Club","24992238","podcast","PASS","PASS"
"299","470","tool","TOOL","6767","artist","TOOL","6767","artist","TOOL","6767","ARTIST","PASS","PASS"
"300","470","cleveland","Cleveland Radio Stations","0","link","WAKS-HD2","8172","live","Cleveland Radio Stations","758","link","FAIL","FAIL"
"301","469","bruno","Bruno Mars","337578","artist","Bruno Mars","337578","artist","Bruno Mars","337578","ARTIST","PASS","PASS"
"302","468","love","LOVE-FL","6790","live","LOVE-FL","6790","live","Love Songs Radio","6790","live","PASS","PASS"
"303","468","alan","Alan Jackson","69978","artist","Alan Jackson","69978","artist","Alan Jackson","69978","ARTIST","PASS","PASS"
"304","467","105.3","WDAS-FM","1993","live","WDAS-FM","1993","live","105.3 WDAS FM","1993","ARTIST","FAIL","FAIL"
"305","467","post","Post Malone","30779802","artist","Post Malone","30779802","artist","Post Malone","30779802","ARTIST","PASS","PASS"
"306","466","dallas","Dallas Radio Stations","0","link","KTCK-AM","5524","live","Dallas Radio Stations","656","link","FAIL","FAIL"
"307","464","lainey","Lainey Wilson","30616217","artist","Lainey Wilson","30616217","artist","Lainey Wilson","30616217","ARTIST","PASS","PASS"
"308","463","missy","Missy Elliott","34785","artist","Missy Elliott","34785","artist","Missy Elliott","34785","ARTIST","PASS","PASS"
"309","463","metal","Full Metal Jackie","0","link","Metallica","58269","artist","Full Metal Jackie","6225","link","FAIL","FAIL"
"310","461","johnny","Johnny Cash","1616","artist","Johnny Cash","1616","artist","Johnny's House","26966212","podcast","FAIL","FAIL"
"311","458","suspect","Suspect","86500588","podcast","Suspect","86500588","podcast","Suspect","86500588","podcast","PASS","PASS"
"312","458","106","WLTW-FM","1477","live","WLTW-FM","1477","live","106.7 Lite FM","1477","podcast","FAIL","FAIL"
"313","454","hot","WQHT-FM","6046","live","WQHT-FM","6046","live","HOT 97","6046","podcast","FAIL","FAIL"
"314","454","the war of the roses","CK & Carmen: War of the Roses","30664964","podcast","Your Morning Show's War Of The Roses","61206888","podcast","War of the Roses - The Jubal Show","72009269","PODCAST","FAIL","FAIL"
"315","453","petra","Petra","29376","artist","Petra","29376","artist","Petra","29376","ARTIST","PASS","PASS"
"316","452","the beatles","The Beatles","591","artist","The Beatles","591","artist","The Beatles","591","ARTIST","PASS","PASS"
"317","452","miami","Miami Radio Stations","0","link","WHYI-FM","561","live","Miami Radio Stations","659","link","FAIL","FAIL"
"318","451","104.5","WGFX-FM","5453","live","WGFX-FM","5453","live","104-5 The Zone","5453","link","FAIL","FAIL"
"319","451","98.7","KYSR-FM","201","live","KYSR-FM","201","live","ALT 98.7","201","link","FAIL","FAIL"
"320","450","gen","Genesis","4687","artist","IGEN-FL","5322","live","Gen X Radio","5322","link","FAIL","FAIL"
"321","443","shinedown","Shinedown","58653","artist","Shinedown","58653","artist","Shinedown","58653","ARTIST","PASS","PASS"
"322","443","104","KBIG-FM","173","live","KBIG-FM","173","live","1043 MYfm","173","ARTIST","FAIL","FAIL"
"323","443","steve harvey","The Steve Harvey Morning Show","27928551","podcast","WSBY-FM","3131","live","The Steve Harvey Morning Show","27928551","podcast","PASS","FAIL"
"324","442","pitbul","Pitbull","42201","artist","Pitbull","42201","artist","Pitbull","42201","ARTIST","PASS","PASS"
"325","442","takeoff","Takeoff","32530220","artist","Takeoff","32530220","artist","Migos","966977","artist","FAIL","FAIL"
"326","439","lainey wilson","Lainey Wilson","30616217","artist","Lainey Wilson","30616217","artist","Lainey Wilson","30616217","ARTIST","PASS","PASS"
"327","438","the dan patrick show","The Dan Patrick Show","60330018","podcast","The Dan Patrick Show","60330018","podcast","The Dan Patrick Show","60330018","podcast","PASS","PASS"
"328","438","101.5","WRVF-FM","1853","live","WRVF-FM","1853","live","101.5 The River","1853","podcast","FAIL","FAIL"
"329","437","aaron lewis","Aaron Lewis","323969","artist","Aaron Lewis","323969","artist","Aaron Lewis","323969","ARTIST","PASS","PASS"
"330","437","104.7","KZZP-FM","61","live","KZZP-FM","61","live","104.7 KISS FM Phoenix","61","ARTIST","FAIL","FAIL"
"331","435","bruno mars","Bruno Mars","337578","artist","Bruno Mars","337578","artist","Bruno Mars","337578","ARTIST","PASS","PASS"
"332","434","christian music","Christian","0","link","CTRYCROS-FL","6845","live","Christian","2","link","FAIL","FAIL"
"333","434","98.9","WUSL-FM","2009","live","WMXY-FM","2772","live","Power 99","2009","link","FAIL","FAIL"
"334","432","steelers","ISTL-FL","4870","live","ISTL-FL","4870","live","NFL Pittsburgh Steelers","2013","live","FAIL","FAIL"
"335","432","coun","CTYM-FL","4418","live","CTYM-FL","4418","live","iHeartCountry Radio","4418","live","FAIL","FAIL"
"336","431","pearl jam","Pearl Jam","6765","artist","Pearl Jam","6765","artist","Pearl Jam","6765","ARTIST","PASS","PASS"
"337","431","100.7","WZLX-FM","7730","live","WMMS-FM","1741","live","100.7 WMMS","1741","ARTIST","FAIL","FAIL"
"338","431","logic","Logic","204732","artist","Logic","204732","artist","Logic","204732","ARTIST","PASS","PASS"
"339","430","beatles","The Beatles","591","artist","The Beatles","591","artist","The Beatles","591","ARTIST","PASS","PASS"
"340","429","102.5","WKLB-FM","5283","live","WDVE-FM","2017","live","102.5 DVE","2017","ARTIST","FAIL","FAIL"
"341","422","710 wor","WOR-AM","5874","live","WOR-AM","5874","live","710 WOR","5874","ARTIST","FAIL","FAIL"
"342","422","tupac","2Pac","39257","artist","2Pac","39257","artist","2Pac","39257","artist","PASS","PASS"
"343","422","bronco","Bronco","40541","artist","Bronco","40541","artist","NFL Denver Broncos","389","live","FAIL","FAIL"
"344","421","xxxtentacion","XXXTENTACION","31133247","artist","XXXTENTACION","31133247","artist","XXXTENTACION","31133247","ARTIST","PASS","PASS"
"345","421","ac/dc","AC/DC","83301","artist","AC/DC","83301","artist","AC/DC","83301","ARTIST","PASS","PASS"
"346","420","the game","The Game","30419751","artist","WRNW-FM","2685","live","97.3 The Game","2685","ARTIST","FAIL","FAIL"
"347","417","tyler","Tyler Childers","902859","artist","Tyler Childers","902859","artist","Tyler Childers","902859","ARTIST","PASS","PASS"
"348","415","red","Red","22190","artist","Red Hot Chili Peppers","6771","artist","Cincinnati Reds On WYTS-AM","7305","link","FAIL","FAIL"
"349","415","erotic","Erotic stories","94809554","podcast","Explore Wild Erotica| 18+ Free Sex Stories","100423457","podcast","Explore Wild Erotica| 18+ Free Sex Stories","100423457","PODCAST","FAIL","PASS"
"350","415","old","Oldies","0","link","OLDE-FL","4439","live","Oldies","685","link","FAIL","FAIL"
"351","414","95.7","WBEN-FM","5294","live","WHIO-FM","5888","live","95.7 Hallelujah FM","2137","link","FAIL","FAIL"
"352","413","wrko","WRKO-AM","7750","live","WRKO-AM","7750","live","WRKO","7750","link","FAIL","FAIL"
"353","411","shakira","Shakira","36640","artist","Shakira","36640","artist","Shakira","36640","ARTIST","PASS","PASS"
"354","411","sex stories","Sex Stories","30930565","podcast","Sex Stories","30930565","podcast","Sex Stories","30930565","PODCAST","PASS","PASS"
"355","410","bones","Imagine Dragons/Bones","162080541","track","Imagine Dragons/Bones","162080541","track","The Bobby Bones Show","25100459","PODCAST","FAIL","FAIL"
"356","409","fleetwood","Fleetwood Mac","7046","artist","Fleetwood Mac","7046","artist","Fleetwood Mac","7046","ARTIST","PASS","PASS"
"357","409","105.1","WWPR-FM","1481","live","WWPR-FM","1481","live","Power 105.1","1481","ARTIST","FAIL","FAIL"
"358","408","buffalo bills","WHAM-AM","1505","live","WHAM-AM","1505","live","WHAM 1180","1505","live","PASS","PASS"
"359","407","alan jackson","Alan Jackson","69978","artist","Alan Jackson","69978","artist","Alan Jackson","69978","ARTIST","PASS","PASS"
"360","406","77 wabc","WABC-AM","5349","live","WABC-AM","5349","live","77 WABC","5349","ARTIST","FAIL","FAIL"
"361","406","scarface","Scarface","41285","artist","Geto Boys Reloaded","84194645","podcast","Scarface","41285","ARTIST","PASS","FAIL"
"362","403","post malone","Post Malone","30779802","artist","Post Malone","30779802","artist","Post Malone","30779802","ARTIST","PASS","PASS"
"363","403","michael jackson","Michael Jackson","6739","artist","Michael Jackson","6739","artist","Michael Jackson","6739","ARTIST","PASS","PASS"
"364","402","sia","Sia","33697","artist","Sia","33697","artist","Sia","33697","ARTIST","PASS","PASS"
"365","402","kevin","Kevin Gates","390541","artist","Kevin Gates","390541","artist","Kevin Gates","390541","ARTIST","PASS","PASS"
"366","400","fox sports radio","FSR-PR","4732","live","FSR-PR","4732","live","Fox Sports Radio","386","live","FAIL","FAIL"
"367","399","jordan","The Jordan B. Peterson Podcast","28713771","podcast","Jordan Klepper Fingers the Conspiracy","30873042","podcast","Jordan Davis","404877","live","FAIL","FAIL"
"368","399","lizzo","LIZZO","30191482","artist","LIZZO","30191482","artist","LIZZO","30191482","artist","PASS","PASS"
"369","398","104.1","KRBE-FM","5531","live","WALR-FM","5885","live","104.1 KRBE","5531","artist","FAIL","FAIL"
"370","397","power","WWPR-FM","1481","live","WWPR-FM","1481","live","Power 105.1","1481","artist","FAIL","FAIL"
"371","395","rewives","ReWives with Bethenny Frankel","104087840","podcast","ReWives with Bethenny Frankel","104087840","podcast","ReWives with Bethenny Frankel","104087840","podcast","PASS","PASS"
"372","395","conspiracy theories","Conspiracy Theories","88372763","podcast","Theories of the Third Kind","76469932","podcast","Jordan Klepper Fingers the Conspiracy","30873042","PODCAST","FAIL","FAIL"
"373","395","ariana","Ariana Grande","678625","artist","Ariana Grande","678625","artist","Ariana Grande","678625","ARTIST","PASS","PASS"
"374","394","790","WKRD-AM","4836","live","WKRD-AM","4836","live","SportsTalk 790","2257","ARTIST","FAIL","FAIL"
"375","394","104.3","WAXQ-FM","1465","live","WAXQ-FM","1465","live","Q104.3","1465","ARTIST","FAIL","FAIL"
"376","391","kesha","Kesha","117810","artist","Kesha","117810","artist","Kesha","117810","ARTIST","PASS","PASS"
"377","391","paranormal","The Paranormal Podcast","27564251","podcast","Weird Darkness: Stories of the Paranormal, Supernatural, Legends, Lore, Mysterious, Macabre, Unsolved","48593313","podcast","Spooky Podcasts","97","link","FAIL","FAIL"
"378","390","tesla","Tesla","40314","artist","Tesla","40314","artist","Tesla","40314","ARTIST","PASS","PASS"
"379","390","imagine dragons","Imagine Dragons","561823","artist","Imagine Dragons","561823","artist","Imagine Dragons","561823","ARTIST","PASS","PASS"
"380","389","pentatonix","Pentatonix","655231","artist","Pentatonix","655231","artist","Pentatonix","655231","ARTIST","PASS","PASS"
"381","388","bad habit","Steve Lacy/Bad Habit","173597682","track","Steve Lacy/Bad Habit","173597682","track","Bad Habit","174846948","track","FAIL","FAIL"
"382","388","jour","Journey","3801","artist","Journey","3801","artist","Journey","3801","ARTIST","PASS","PASS"
"383","388","102.7","KIIS-FM","185","live","KIIS-FM","185","live","102.7 KIIS-FM Los Angeles","185","ARTIST","FAIL","FAIL"
"384","386","podcasts","Podcasts","27352604","podcast","The Bible Study Podcasts","83544017","podcast","iHeartRadio Podcasts","45","link","FAIL","FAIL"
"385","385","the mark belling show","The Mark Belling Show","24992319","podcast","The Mark Belling Show","24992319","podcast","The Mark Belling Show","24992319","podcast","PASS","PASS"
"386","385","cou","CTYM-FL","4418","live","CTYM-FL","4418","live","iHeartCountry Radio","4418","podcast","FAIL","FAIL"
"387","384","beat","RBHH-FL","4429","live","The Beatles","591","artist","The Beatles","591","podcast","FAIL","FAIL"
"388","384","mariah","Mariah Carey","31885","artist","Mariah Carey","31885","artist","Mariah Carey","31885","ARTIST","PASS","PASS"
"389","384","92.5","KZPS-FM","3379","live","KZPS-FM","3379","live","Lone Star 92.5","3379","ARTIST","FAIL","FAIL"
"390","383","spa","SPA-FL","7248","live","Spa Music Relaxation & Spa & Sleeping Music","32466022","artist","Spa","7248","live","PASS","FAIL"
"391","383","george strait","George Strait","31894","artist","George Strait","31894","artist","George Strait","31894","ARTIST","PASS","PASS"
"392","383","mlb","Sports","0","link","Talkin' Baseball (MLB Podcast)","87620247","podcast","Sports","686","link","FAIL","FAIL"
"393","382","kfi am 640","KFI-AM","177","live","KFI-AM","177","live","KFI AM 640","177","live","PASS","PASS"
"394","382","internal","Internal Affairs","101962131","podcast","Internal Affairs","101962131","podcast","Internal Affairs","101962131","podcast","PASS","PASS"
"395","382","wdve","WDVE-FM","2017","live","WDVE-FM","2017","live","102.5 DVE","2017","podcast","FAIL","FAIL"
"396","380","v103","WVAZ-FM","865","live","WVAZ-FM","865","live","V103","865","podcast","FAIL","FAIL"
"397","379","105.9","WMAL-FM","5479","live","WXDX-FM","2033","live","105.9 FM WMAL","5479","podcast","FAIL","FAIL"
"398","378","96.3","WXNY-FM","5173","live","KSCS-FM","5342","live","New Country 96.3","5342","podcast","FAIL","FAIL"
"399","377","93.7","KQBT-FM","2265","live","KQBT-FM","2265","live","93.7 The Beat Houston","2265","podcast","FAIL","FAIL"
"400","377","piano","Relaxing Piano Music","312064750::BYyP7KVHKfSJKisYoDTRPZ","curated_playlist","Relaxing Piano Music","312064750::BYyP7KVHKfSJKisYoDTRPZ","curated_playlist","Piano Man","2522192","track","FAIL","FAIL"
"401","377","jeezy","Jeezy","2599","artist","Jeezy","2599","artist","Jeezy","2599","ARTIST","PASS","PASS"
"402","374","thanksgiving","Thanksgiving Music Playlist","35187861","artist","Thanksgiving Music Playlist","35187861","artist","iHeartChristmas Stations","688","link","FAIL","FAIL"
"403","371","mary j","Mary J. Blige","39258","artist","Mary J. Blige","39258","artist","Mary J. Blige","39258","ARTIST","PASS","PASS"
"404","371","mark levin podcast","Mark Levin Podcast","30488766","podcast","Mark Levin Podcast","30488766","podcast","Mark Levin Podcast","30488766","PODCAST","PASS","PASS"
"405","370","lil durk","Lil Durk","788837","artist","Lil Durk","788837","artist","Lil Durk","788837","ARTIST","PASS","PASS"
"406","369","nell","Nelly","40199","artist","Nelly","40199","artist","Nelly","40199","ARTIST","PASS","PASS"
"407","369","97.5","WPEN-FM","5295","live","WPEN-FM","5295","live","97.5 The Fanatic","5295","ARTIST","FAIL","FAIL"
"408","369","lofi","Lo-Fi","0","link","Lofi Hip-Hop Beats","32533219","artist","Lo-Fi","1829","link","FAIL","FAIL"
"409","368","salsa","SALSA-FL","7192","live","Salsa Mix","32796839","artist","Salsa Bembé","7192","live","PASS","FAIL"
"410","368","maze","Maze","255562","artist","Maze","255562","artist","Maze","255562","ARTIST","PASS","PASS"
"411","367","sam hunt","Sam Hunt","931287","artist","Sam Hunt","931287","artist","Sam Hunt","931287","ARTIST","PASS","PASS"
"412","367","gene","Genesis","4687","artist","The Generation Why Podcast","28291464","podcast","The Generation Why Podcast","28291464","ARTIST","FAIL","FAIL"
"413","367","magic","WMJJ-FM","3081","live","WMGF-FM","597","live","Magic 107.7 Orlando","597","ARTIST","FAIL","FAIL"
"414","366","john denver","John Denver","446","artist","John Denver","446","artist","John Denver","446","ARTIST","PASS","PASS"
"415","366","jason","Jason Aldean","369639","artist","Jason Aldean","369639","artist","Jason Aldean","369639","ARTIST","PASS","PASS"
"416","366","the bible in a year","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","Bible in a Year with Jack Graham","102314784","podcast","The Bible in a Year (with Fr. Mike Schmitz)","75927728","podcast","PASS","FAIL"
"417","366","80’s","IEIG-FL","5060","live","80s & 90s Hit Factory","32052785","artist","iHeart80s Radio","5060","live","PASS","FAIL"
"418","365","blaze radio network","BLAZE-FL","4874","live","BLAZE-FL","4874","live","Blaze Radio Network","4874","live","FAIL","FAIL"
"419","364","rod wave","Rod Wave","31742517","artist","Rod Wave","31742517","artist","Rod Wave","31742517","artist","PASS","PASS"
"420","363","t pain","T-Pain","89597","artist","Plies/Shawty (feat. T Pain)","1020421","track","T-Pain","89597","artist","PASS","FAIL"
"421","363","ariana grande","Ariana Grande","678625","artist","Ariana Grande","678625","artist","Ariana Grande","678625","ARTIST","PASS","PASS"
"422","362","nickelback","Nickelback","34750","artist","Nickelback","34750","artist","Nickelback","34750","ARTIST","PASS","PASS"
