"Igloo-Rank","Igloo-TotalOccurences","Igloo-Search_Term","Igloo-SSR-content_name","Igloo-SSR-content_id","Igloo-SSR-content_type","Igloo-QSR-content_name","Igloo-QSR-content_id","Igloo-QSR-content_type","Amp-content_name","Amp-content_id","Amp-content_type","SSR PASS/FAIL","QSR PASS/FAIL"
"51","1568","dateline","Dateline NBC","43034875","podcast","Dateline NBC","43034875","podcast","Dateline NBC","43034875","PODCAST","PASS","PASS"
"52","1548","elton john","Elton John","5041","artist","Elton John","5041","artist","Elton John","5041","ARTIST","PASS","PASS"
"53","1536","paul allen","Paul Allen","26980875","podcast","Paul Allen","26980875","podcast","Paul Allen","26980875","PODCAST","PASS","PASS"
"54","1526","classic rock","ICLR-FL","4426","live","ICLR-FL","4426","live","The Classic Rock Channel","4426","PODCAST","FAIL","FAIL"
"55","1479","news","FOXNEWS-FL","8627","live","FOXNEWS-FL","8627","live","News Radio 740 KTRH","2285","PODCAST","FAIL","FAIL"
"56","1453","mario","Mario","5280","artist","Mario","5280","artist","Mario","5280","ARTIST","PASS","PASS"
"57","1440","joe rogan","The Joe Rogan Experience","0","link","The Joe Rogan Experience","0","link","The Joe Rogan Experience","1159","link","FAIL","FAIL"
"58","1433","disney","Disney Playlists","0","link","Disney","30037891","artist","Disney Playlists","1634","link","FAIL","FAIL"
"59","1388","eagles","Eagles","59842","artist","Eagles","59842","artist","Eagles","59842","artist","PASS","PASS"
"60","1367","ksr","KSR","28233652","podcast","KSR","28233652","podcast","NewsRadio 630 WLAP","965","live","FAIL","FAIL"
"61","1361","90s","MY90S-FL","6834","live","MY90S-FL","6834","live","iHeart90s Radio","6834","live","PASS","PASS"
"62","1338","fox","FSR-PR","4732","live","FSR-PR","4732","live","Fox Sports Radio","4732","live","FAIL","FAIL"
"63","1334","taylor swift","Taylor Swift","33221","artist","Taylor Swift","33221","artist","Taylor Swift","33221","ARTIST","PASS","PASS"
"64","1279","jazz","IJAZ-FL","4242","live","IJAZ-FL","4242","live","Smooth Jazz","4242","ARTIST","FAIL","FAIL"
"65","1271","rap","Rap","0","link","Polo G/RAPSTAR","136559043","track","Rap","328","link","FAIL","FAIL"
"66","1238","80s rock","80s Rock","66","link","ICLR-FL","4426","live","80s Rock","66","link","PASS","FAIL"
"67","1234","future","Future","296257","artist","Future","296257","artist","Future","296257","ARTIST","PASS","PASS"
"68","1219","holiday","iHeartChristmas Stations","0","link","XMAS-FL","9608","live","iHeartChristmas Stations","688","link","FAIL","FAIL"
"69","1215","oldies","Oldies","0","link","OLDE-FL","4439","live","Oldies","685","link","FAIL","FAIL"
"70","1204","alabama","Alabama","62725","artist","Alabama","62725","artist","Alabama","62725","ARTIST","PASS","PASS"
"71","1196","dax","Dax","30404961","artist","Dax","30404961","artist","Dax","30404961","ARTIST","PASS","PASS"
"72","1190","miguel","Miguel","389288","artist","Miguel","389288","artist","Miguel","389288","ARTIST","PASS","PASS"
"73","1188","serial","Serial","80684711","podcast","Serial","80684711","podcast","Serial","80684711","podcast","PASS","PASS"
"74","1185","luke","Luke Combs","30406307","artist","Luke Combs","30406307","artist","Luke Combs","30406307","ARTIST","PASS","PASS"
"75","1181","creed","Creed","116039","artist","Creed","116039","artist","Creedence Clearwater Revival","35051","ARTIST","FAIL","FAIL"
"76","1166","boston","Boston","35143","artist","Boston","35143","artist","Boston","35143","ARTIST","PASS","PASS"
"77","1154","metallica","Metallica","58269","artist","Metallica","58269","artist","Metallica","58269","ARTIST","PASS","PASS"
"78","1154","taylor","Taylor Swift","33221","artist","Taylor Swift","33221","artist","Taylor Swift","33221","ARTIST","PASS","PASS"
"79","1135","morgan","Morgan Wallen","30731053","artist","Morgan Wallen","30731053","artist","Morgan Wallen","30731053","ARTIST","PASS","PASS"
"80","1132","monica","Monica","116135","artist","Monica","116135","artist","Monica","116135","ARTIST","PASS","PASS"
"81","1128","hardy","HARDY","33479016","artist","HARDY","33479016","artist","HARDY","33479016","ARTIST","PASS","PASS"
"82","1117","pantera","Pantera","58427","artist","Pantera","58427","artist","Pantera","58427","ARTIST","PASS","PASS"
"83","1086","hamilton","Soundtrack/Alexander Hamilton","35608640","track","Hamilton","2084","link","Hamilton","35608639","link","FAIL","PASS"
